cs101_ocena,cs102_izostanci,cs102_ocena
9,0,9
10,2,10
10,0,10
10,0,10
10,0,10
9,1,9
10,0,10
10,0,10
10,0,10
9,1,9
10,0,10
9,0,9
10,0,10
9,0,9
10,0,10
10,1,10
9,0,9
10,0,10
9,0,9
10,2,9
10,0,10
9,2,9
10,0,10
10,0,10
10,2,9
9,0,9
10,0,10
9,0,9
10,0,10
9,0,9
10,2,9
9,0,9
10,0,10
9,0,9
10,0,10
10,0,10
10,0,10
9,1,9
10,0,10
10,0,10
10,0,10
9,0,9
10,0,10
9,0,9
10,0,10
9,0,9
10,0,10
10,0,10
10,0,10
9,0,9
10,0,10
10,0,10
9,0,9
9,0,9
10,0,10
9,0,9
10,0,10
10,0,9
10,0,10
9,0,9
10,0,10
9,0,9
10,0,10
10,0,10
9,0,9
10,0,10
10,0,10
9,0,9
9,0,9
10,1,10
10,0,10
10,0,10
10,0,10
10,0,10
10,0,10
10,0,10
9,0,9
10,1,10
10,0,10
10,1,9
10,0,10
10,0,10
10,0,9
10,0,10
10,0,10
10,0,9
10,0,10
10,1,10
10,0,10
10,0,9
10,0,10
10,0,10
10,0,10
10,0,10
10,0,10
10,0,10
10,0,10
10,1,10
10,1,10
8,2,8
8,2,8
8,2,8
8,1,8
8,2,8
7,1,7
9,1,9
8,1,8
8,1,8
7,2,7
8,2,8
7,1,7
8,1,8
8,2,8
8,2,8
6,1,6
8,2,8
6,1,6
7,1,7
9,1,9
8,2,8
8,2,8
8,2,7
8,2,8
8,2,7
7,3,7
8,1,8
8,1,7
8,1,8
8,1,8
8,3,8
6,2,7
7,2,7
7,1,7
8,2,8
8,3,8
8,2,8
9,2,9
8,3,8
8,1,8
8,1,8
7,2,7
7,2,7
9,2,9
8,2,8
8,2,8
7,3,7
7,2,7
8,1,7
8,2,8
7,3,7
8,2,8
8,2,8
8,2,8
8,2,8
8,2,8
7,2,7
8,2,8
7,2,7
8,2,8
8,2,8
8,2,8
7,2,7
7,2,7
8,2,8
8,2,8
7,2,7
8,3,8
8,2,8
8,2,8
7,2,7
7,2,7
8,3,7
9,2,9
8,2,8
7,2,7
8,2,8
7,2,7
8,2,8
8,2,8
8,2,8
9,3,9
8,3,8
7,2,7
8,2,8
8,2,8
8,2,8
8,2,8
7,2,7
8,3,8
7,2,7
7,3,7
8,2,8
8,2,8
7,2,8
8,2,8
8,2,8
8,2,8
8,2,8
7,2,7
7,4,7
6,3,6
5,4,5
7,4,7
7,3,7
7,3,7
7,3,7
6,2,6
7,4,7
7,0,7
7,2,7
7,4,7
7,2,7
7,4,7
7,2,7
7,1,7
7,2,7
7,2,7
6,4,6
7,4,6
7,4,7
8,2,8
6,1,6
7,2,7
7,1,7
7,3,7
7,4,7
5,4,6
5,4,5
7,2,6
6,1,6
7,2,7
5,2,6
7,4,6
6,2,6
6,3,6
7,1,7
5,4,5
5,4,6
5,3,5
5,4,5
5,4,5
6,3,6
7,4,7
7,2,7
5,4,5
5,4,5
5,3,6
7,3,7
7,3,7
5,1,5
6,4,6
7,3,7
6,4,6
6,1,6
5,1,6
6,2,6
5,4,5
5,1,5
6,2,6
5,4,5
7,2,7
7,4,7
5,4,5
7,2,7
7,4,7
7,2,7
7,4,7
7,4,7
7,4,6
7,2,7
7,4,6
7,3,7
7,4,6
7,2,7
7,4,7
7,3,7
6,2,6
7,4,7
7,4,7
7,3,6
7,3,7
7,4,7
7,2,7
6,4,6
7,3,7
7,4,7
6,2,6
7,4,7
7,4,7
7,4,7
7,4,7
6,2,6
7,4,7
7,4,7
7,1,7
6,4,6
7,2,7
7,4,7
6,4,6
6,3,6
7,4,7
7,4,7
7,4,7
7,4,7
7,3,7
7,4,7
7,4,7
7,4,7
7,4,7
7,4,7
7,4,6
7,3,6
7,4,7
7,3,6
7,4,7
7,2,7
7,4,6
7,3,6
7,4,7
7,4,7
7,2,7
7,3,7
7,3,7
7,4,7
6,4,6
7,4,7
7,4,7
7,4,7
6,3,6
7,1,7
7,4,7
7,4,7
7,1,7
6,4,6
6,4,6
7,4,7
7,4,7
7,1,6
7,0,7
7,1,7
6,3,6
5,4,5
7,4,7
7,1,7
7,1,7
7,3,7
7,4,7
6,4,6
7,4,7
7,3,7
6,2,6
7,4,7
6,4,6
7,4,7
7,1,7
7,4,6
7,3,7
7,4,7
6,4,6
6,4,6
7,4,7
7,4,7
7,3,7
7,4,7
7,4,7
6,1,6
6,4,6
7,4,7
6,4,6
6,4,6
7,4,7
5,2,5
6,4,6
7,2,7
6,2,6
6,4,6
7,4,7
5,4,5
7,1,7
6,4,6
6,1,6
6,7,6
7,7,7
6,4,6
6,3,6
7,7,7
7,7,6
7,2,7
7,4,7
6,4,6
7,7,7
7,2,7
7,4,7
7,1,7
7,7,7
7,7,7
6,4,6
6,4,6
7,7,7
5,5,5
5,2,6
5,5,5
5,5,5
5,2,5
5,7,5
5,3,6
5,5,5
5,5,5
5,3,5
5,2,5
5,2,5
5,2,5
5,5,5
5,5,5
5,5,5
5,3,5
5,2,5
5,2,6
5,2,5
5,5,5
5,2,5
5,3,6
5,3,6
5,5,5
5,2,5
5,5,5
5,2,6
5,2,5
5,2,5
5,3,5
5,5,5
5,5,5
5,2,5
5,5,5
5,3,5
5,2,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,5,5
5,2,5
5,5,5
5,2,5
5,4,5
5,5,5
5,5,5
5,5,5
5,2,5
5,5,5
5,4,5
5,5,6
5,5,5
5,2,6
5,2,5
5,5,5
5,1,5
5,5,6
5,5,6
5,1,6
5,7,5
5,7,6
5,2,5
5,5,5
5,4,6
6,5,6
6,2,6
5,4,6
6,4,6
6,5,6
5,7,5
5,5,5
6,2,6
6,5,6
6,7,6
5,4,5
6,7,6
6,7,6
5,5,5
5,5,5
6,5,6
5,7,5
6,2,6
5,3,5
6,5,6
5,5,6
5,5,5
5,3,5
6,5,6
6,7,6
5,3,5
5,7,5
6,5,6
5,5,5
5,3,5
6,3,6
5,7,5
5,5,5
